English,Image,Audio,Type,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Arabic,Chinese_HK,Chinese_CH,Chinese_TW,French,Dutch,German,Greek,Hindi,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese_BR,Portuguese_PT,Russian,Spanish,Thai,Vietnamese,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio,Tag
"Yeah, I know it doesn't start with A, but it's kind of cool.","<img src=""eight_traits_of_successful_people_066.jpg"">",[sound:eight_traits_of_successful_people_066.wav],Yeah I know it doesnt start with A but its kind of cool,kind of cool: phrase meaning “quite interesting/appealing”,,,,"That new design is kind of cool, don’t you think?",,,,أجل أعرف أنه لا يبدأ بـ (A) ولكنه أمر رائع,,呃。。。我知道这个不是Ａ开头的，但是也蛮炫酷的～,我知道它不是A開頭，但你不覺得很酷嗎,"Ça ne commence pas par la lettre A, mais c’est trop cool.",ja en oh het is een steinway d brits kan,"Das beginnt zwar nicht mit einem A, trotzdem finde ich das cool.",,,"Yang terakhir itu memang tidak berawalan A, tapi tetap mengagumkan.","Sì, lo so che non inizia per A, ma è fico.",これはAから始まらないけれどね かっこいいでしょ,"네, A로 시작하지 않지만 멋있습니다.",,,"Sim, eu sei que isso não começa com a letra A, mas é bem legal.","Eu sei, não começam por A, mas é muito fixe.","Их специальности не начинаются на букву А, но это круто.","Sí, ya sé que no comienza con A, pero es bastante impresionante.",ให้กับบุคคลผู้ยิ่งใหญ่เหล่านั้น ที่ผมได้สัมภาษณ์มาตลอดหลายปี,"Tôi biết, nó không bắt đầu bằng chữ A nhưng giải Nobel thì thật tuyệt vời.",[sound:hypertts-ed91ad58af184b30f9992ee6e4761498e76a380262b3251109e306e9.mp3],,,,eight_traits_of_successful_people ted-ed
(Laughter)<br>And I want to say a sincere thanks<br>to all the great people that I've interviewed over the years.,"<img src=""eight_traits_of_successful_people_067.jpg"">",[sound:eight_traits_of_successful_people_067.wav],And I want to say a sincere thanks to all the great people that Ive interviewed over the years,sincere thanks: genuine gratitude,over the years: phrase marking long period of time,,,She offered sincere thanks to everyone who supported her.,"Over the years, technology has reshaped how we communicate.",,,(ضحك)<br>وأريد أن أوجه خالص الشكر<br>إلى جميع الأشخاص العظماء الذين أجريت معهم مقابلات على مر السنين,,哈哈哈哈哈<br>然后呢，我要说一声真诚的谢谢<br>对那些我在这些年采访过的伟大的人们,在此，我想對過去幾年 所有受訪的成功人士表達感謝,(Rires)<br>Je voudrais remercier chaleureusement<br>toutes ces personnes formidables que j’ai rencontrées au fil des ans.,niet cool<br>nou wonen cs insert text to all the<br>great people de wright interviewer dr,"Ich möchte allen großartigen Menschen herzlich danken,<br>Ich möchte allen großartigen Menschen herzlich danken,<br>die ich in den letzten Jahren interviewt habe.",,,Dan saya ingin berterima kasih<br>Dan saya ingin berterima kasih<br>kepada seluruh peserta yang telah saya wawancarai selama ini.,Voglio veramente ringraziare<br>Voglio veramente ringraziare<br>le persone speciali che ho intervistato in questi anni.,これまでインタビューしてきた<br>これまでインタビューしてきた<br>素晴らしい人たちに 心から感謝したいです,저는 진심으로 감사의 말씀을<br>저는 진심으로 감사의 말씀을<br>수년동안 인터뷰한 훌륭한 분들께 올리고 싶습니다.,,"Chciałbym gorąco podziękować wszystkim, z którymi rozmawiałem na przestrzeni lat.<br>Chciałbym gorąco podziękować wszystkim, z którymi rozmawiałem na przestrzeni lat.",E quero dizer um sincero obrigado<br>E quero dizer um sincero obrigado<br>a todas essas incríveis pessoas que entrevistei ao longo dos anos.,(Risos)<br>Quero agradecer sinceramente<br>a todas as pessoas importantes que entrevistei ao longo dos anos.,Я хочу искренне поблагодарить<br>Я хочу искренне поблагодарить<br>всех опрошенных мною на протяжении многих лет великих людей.,Y quiero decir dar un sincero agradecimiento<br>Y quiero decir dar un sincero agradecimiento<br>a todas las grandes personas que he entrevistado en estos años.,มันเป็นเรื่องราวของพวกเขาโดยแท้ ผมแค่เป็นคนส่งสาร<br>งานที่หนักในโครงการนี้ มีตั้งแต่การเพียรสัมภาษณ์,Và tôi muốn gửi lời cảm ơn sâu sắc<br>đến tất cả những người vĩ đại mà tôi đã phỏng vấn thời gian qua.,[sound:hypertts-503ce930be04803a097959a3d9913fda8b194ca428e5e234407be1aa.mp3],[sound:hypertts-47f4909f783301911cb11263fa9a9fed19406311d6949bb29f2fabc2.mp3],,,eight_traits_of_successful_people ted-ed
This really is their story; I'm just the messenger.,"<img src=""eight_traits_of_successful_people_068.jpg"">",[sound:eight_traits_of_successful_people_068.wav],This really is their story Im just the messenger,I’m just the messenger: phrase distancing oneself from the message,,,,Don’t blame me for the news; I’m just the messenger.,,,,فهذه قصتهم؛ وأنا مجرد رسول,,我不生产故事，我只是他们的搬运工～,這其實是屬於他們的故事,"Il s’agit de leur histoire. Moi, je ne suis que le messager.",this really is their story time zesde,Eigentlich ist das ihre Geschichte. Ich bin nur der Botschafter.,,,Ini cerita mereka; saya hanyalah pengantar.,Questa è in realtà la loro storia; io sono solo il messaggero.,全ては彼らの体験談で 私はただのメッセンジャーに過ぎません,이것은 정말 그들의 이야기이고 저는 전달할 뿐입니다.,,"To ich historia, ja ją tylko przekazuję.","Essa na verdade é a história deles, eu sou apenas o mensageiro.","É esta a sua história, eu sou apenas o mensageiro.",Это действительно их история. Я лишь посланник.,Esta es realmente su historia. Yo soy solo el mensajero.,วิเคราะห์บทสัมภาษณ์นั้น ทีละคำ ทีละบรรทัด,Đây là câu chuyện của họ; tôi chỉ là người đưa tin.,[sound:hypertts-fbd8bd4fda7e7596041594b28ac25b86374886400d9c3f3fd2c57126.mp3],,,,eight_traits_of_successful_people ted-ed
"The really big job was taking all the interviews<br>and analyzing them, word by word, line by line,<br>and sorting them into all the factors that people said helped them succeed.","<img src=""eight_traits_of_successful_people_069.jpg"">",[sound:eight_traits_of_successful_people_069.wav],The really big job was taking all the interviews and analyzing them word by word line by line and sorting them into all the factors that people said helped them succeed,"word by word, line by line: expression meaning “very carefully and thoroughly”",,,,"The lawyer reviewed the contract word by word, line by line.",,,,المهمة الكبيرة حقاً كانت أخذ جميع المقابلات<br>وتحليلها كلمة بكلمة، سطر بسطر<br>وتصنيفهم إلى جميع العوامل التي قال الناس إنها ساعدتهم على النجاح,,进行这些采访是个有着巨大工程量的活<br>然后一字一句的进行分析<br>然后把他们的经验分类成为一个个影响他们成功的因素,要一字一句分析所有訪談紀錄是最難的事<br>然後將他們的成功要素分門別類,"Ce fut un boulot immense de réaliser les interviews,<br>de les analyser, mot par mot,<br>et de trier tous les facteurs qui leur ont permis de réussir, selon eux.",messenger de really big jump is taking<br>all the us and analyzing en word word,"Die größte Aufgabe war es, die Interviews zu führen<br>und sie Wort für Wort und Zeile für Zeile zu analysieren,<br>und sie nach Erfolgsfaktoren zu sortieren.",,,"Yang paling penting adalah mengumpulkan hasil wawancara<br>dan menganalisa mereka, kata demi kata, baris demi baris,<br>dan memilahnya ke dalam faktor-faktor yang dikatakan membantu orang-orang itu sukses.","Il lavoro maggiore è stato analizzare tutte le interviste<br>parola per parola, frase per frase,<br>e suddividerle in base ai fattori di successo.",大変だったのは インタビューをまとめて<br>一語一語 すべての言葉を分析し<br>成功の要因を 整理することでした,정말 큰 일은 모든 인터뷰를 하고<br>그것을 글자 그대로 한줄씩 분석해서<br>사람들이 성공하도록 도왔다는 모든 요소를 분류하는 일이었죠.,,"Ogromną pracą było zbieranie i analizowanie wywiadów,","A maior parte do trabalho foi pegar todas as entrevistas<br>e analisá-las, palavra por palavra, linha por linha,<br>e organizar todos os fatores que as pessoas disseram ajudar no seu sucesso.","O grande trabalho foi agarrar em todas as entrevistas<br>e analisá-las, palavra a palavra, frase a frase,<br>e escolher todos os fatores","Очень большой работой было проведение интервью,<br>анализ данных, слово за словом, строка за строкой,<br>и сортировка всех факторов по словам людей, помогших добиться успеха.","El trabajo realmente grande fue tomar todas esas entrevistas<br>y analizarlas, palabra por palabra, línea por línea,<br>y ordenarlas por todos los factores que decían que les ayudaron a tener éxito.",และเรียบเรียงออกมาเป็นปัจจัย ที่พวกเขาบอกว่า มันช่วยให้ประสบความสำเร็จ<br>ณ จุดนี้เราก็จะเริ่มเห็นปัจจัยหลัก ๆ<br>ที่ผู้ประสบความสำเร็จมีเหมือน ๆ กัน,"Một khối lượng công việc lớn khi phỏng vấn tất cả<br>phân tích từng chữ, từng dòng<br>cũng như phân loại các yếu tố mà theo họ, đã giúp họ thành công.",[sound:hypertts-7b0f569a4f29d74995920b0143e21ec889eea637829f0335c4d64349.mp3],,,,eight_traits_of_successful_people ted-ed
And then you start to see the big factors that are common to most people's success.,"<img src=""eight_traits_of_successful_people_070.jpg"">",[sound:eight_traits_of_successful_people_070.wav],And then you start to see the big factors that are common to most peoples success,start to see: phrase for gradual realization,common to: phrase meaning “shared by”,,,"Over time, you start to see patterns in human behavior.",Kindness is common to all great leaders.,,,ثم تبدأ برؤية العوامل الكبرى المشتركة لنجاح معظم الأشخاص,,然后你就开始能够看出那些令大部分人成功的决定因素了,你會注意到大部份成功的人,"Petit à petit, des dénominateurs communs au succès sont apparus.",historici dempingfactor,"So erkennt man die Hauptfaktoren,",,,Kemudian terlihatlah faktor-faktor utama,"Sono emersi i fattori più frequenti,",するとほとんどの成功者に,그런 다음에 대부분의 사람들이 성공한데 공통으로 들어간,,"Wtedy zaczynasz dostrzegać te najważniejsze, które się powtarzają.",E então comecei a ver os grandes fatores,Comecei a ver os fatores principais,После такого начинаешь видеть важные общие признаки,Y entonces se comienzan a vislumbrar los grandes factores,ผมวิเคราะห์และเรียบเรียงคำเป็นล้าน ๆ คำ,Các bạn sẽ được thấy các điểm chung,[sound:hypertts-f4bd1cc2f11d0beb2e0463495999fa41057136ebc4f13b8cb5889bef.mp3],[sound:hypertts-9b92f3f059b75fd141c557c7bc6c942a0b970b9eb91ab57d89ade28f.mp3],,,eight_traits_of_successful_people ted-ed
"Altogether, I analyzed and sorted millions of words.","<img src=""eight_traits_of_successful_people_071.jpg"">",[sound:eight_traits_of_successful_people_071.wav],Altogether I analyzed and sorted millions of words,Altogether: adverb meaning “in total”,,,,"Altogether, the journey took more than three years.",,,,وإجمالًا، فقد حللت وصنفت ملايين الكلمات,,算在一起，我应该也分析总结了数以百万计的文字了,我分析並分類了總共上百萬字,J’ai analysé et sélectionné des millions de termes.,guys and license soorten miljoen the,Insgesamt habe ich Millionen Wörter analysiert und sortiert.,,,Saya telah memilah dan menganalisa berjuta-juta kata.,"Nel complesso, ho analizzato e ordinato milioni di parole.",何百万語にも上る言葉を 分析しました,다합쳐서 저는 수백만 개의 낱말을 분석하고 분류했습니다.,,W sumie przeanalizowałem i uporządkowałem miliony słów.,"No final, analisei e classifiquei milhões de palavras.","Ao todo, analisei e selecionei milhões de palavras.",В целом я анализировал и соотнёс миллионы слов.,"En total, analicé y clasifiqué millones de palabras.",ผมทำงานหามรุ่งหามค่ำ ในการเรียบเรียงและวิเคราะห์,Tôi đã phân tích và sắp xếp hàng triệu từ ngữ.,[sound:hypertts-a809aff577ca630efd560a0b915bdeabec6ccee130d9774532cc6979.mp3],,,,eight_traits_of_successful_people ted-ed
Do you know how much work that is?,"<img src=""eight_traits_of_successful_people_072.jpg"">",[sound:eight_traits_of_successful_people_072.wav],Do you know how much work that is,rhetorical question: sentence structure for emphasis,,,,Do you know how difficult it is to run a marathon?,,,,هل تعرفون كم مقدار هذا العمل؟,,你们知道那是多大的工作量么,你知道工程有多浩大嗎?,Avez-vous une idée de ce que ça représente ?,words you much word er is het online,"Wissen Sie, wie viel Arbeit das ist?",,,Anda tahu berapa besarnya pekerjaan itu?,Sapete quanto lavoro è?,どれほど大変か分かりますか？,얼마나 큰 일인지 아십니까?,,"Wiecie, ile to roboty?",Vocês fazem ideia do trabalho que isso deu?,Fazem ideia do trabalhão que é?,"Знаете, какая это большая работа?",¿Saben la cantidad de trabajo que supone?,ถ้าผมมีโอกาสได้พบกับ เด็กสาวบนเครื่องบินนั้นอีก,Các bạn có biết đó là công việc lớn cỡ nào không?,[sound:hypertts-51730d8c3c970d63952a7e39c89679b25b70f952c5138a0bef3c8a79.mp3],,,,eight_traits_of_successful_people ted-ed
"That's all I do, day and night -- sort and analyze.","<img src=""eight_traits_of_successful_people_073.jpg"">",[sound:eight_traits_of_successful_people_073.wav],Thats all I do day and night  sort and analyze,"day and night: phrase meaning “constantly, without stop”",,,,She worked day and night to prepare for the competition.,,,,هذا هو كل ما أفعل نهارًا وليلًا ، تصنيف وتحليل,,我一个人做完了全部的分析总结，不分昼夜的工作着,分類再分類，分析再分析，日以繼夜,"Je n’ai fait que ça, nuit et jour : trier et analyser.",dna soort naar lijst hotel je de pug my,Tag und Nacht mache ich nur das: sortieren und analysieren.,,,"Hanya itu yang saya lakukan, pagi dan malam -- memilah dan menganalisa.",Dalla mattina alla sera ordinare e analizzare.,昼も夜も そればかり 整理しては分析するという繰り返し,그게 제가 밤낮으로 한 일입니다. 분류하고 분석했죠.,,Tylko tym się zajmowałem dniem i nocą - sortowanie i analiza.,"É tudo que eu faço, dia e noite: classificar e analisar.","É só o que faço, dia e noite  escolher e analisar.","Всё, что я делаю днём и ночью,  сортирую и анализирую.","Eso es todo lo que hago, día y noche, clasificar y analizar.",ผมจะขอบคุณเธอ,"Tất cả những gì tôi làm, ngày đêm- là phân tích và sắp xếp.",[sound:hypertts-aa310add6a9d1e3e294e95fbcc0cfd5f57a3ed71dab240a1e3dea105.mp3],,,,eight_traits_of_successful_people ted-ed
"I'll tell you, if I ever get my hands on that kid on the plane --<br>(Laughter)<br>Actually, if I do, I'll thank her.","<img src=""eight_traits_of_successful_people_074.jpg"">",[sound:eight_traits_of_successful_people_074.wav],Ill tell you if I ever get my hands on that kid on the plane   Actually if I do Ill thank her,,,,,,,,,دعوني أقل لكم، إن تمكنت من إيجاد تلك الفتاة التي قابلتها على متن الطائرة<br>(ضحك)<br>حقيقة، إذا حصل ذلك، فسوف أشكرها,,我跟你们讲，如果那个飞机上的孩子再被我碰上。。。<br>哈哈哈哈<br>其实，如果我有这个机会，我会感谢她的,我告訴你<br>我說認真的，我會向她說聲謝謝<br>我說認真的，我會向她說聲謝謝,"Je vous jure, si jamais je remets la main sur cette gosse dans l’avion...<br>(Rires)<br>En fait, je la remercierais.",alsjeblief ideal het anker design ever<br>alsjeblief ideal het anker design ever,Wenn ich das Mädchen aus dem Flugzeug je wieder in die Hände kriege --<br>würde ich ihr danken.<br>würde ich ihr danken.,,,Kalau sampai saya bertemu lagi dengan anak yang di pesawat itu lagi...<br>Saya akan berterima kasih kepadanya.,"Vi dirò, se acchiappo quella ragazzina dell'aereo...<br>In realtà la ringrazierei,",もしまた あの飛行機のガキに 出会おうものなら･･･<br>お礼を言ってやりますよ<br>お礼を言ってやりますよ,제가 비행기에서 그 아이를 다시 만난다면...<br>그렇다면 실제로 저는 그녀에게 감사할 것입니다.,,"Gdybym tylko dorwał tę dziewczynkę z samolotu...<br>Właściwie, gdybym ją spotkał, to bym jej podziękował.<br>Właściwie, gdybym ją spotkał, to bym jej podziękował.","Vou dizer uma coisa, se eu encontrar aquela menina do avião...<br>Na verdade, se eu encontrá-la, vou agradecê-la.","E digo-vos, se alguma vez deitar a mão àquela miúda do avião...<br>(Risos)<br>Bom, se o conseguir, vou agradecer-lhe.","Скажу вам, пусть только эта девочка из самолёта попадёт ко мне...<br>На самом деле, если встречу, я буду благодарить её.","Les digo que, si alguna vez se me cruza esa niña del avión...<br>En realidad, si me pasa, le daré las gracias.",เพราะผมไม่เคยสนุกไปกับงาน และได้พบเจอผู้คนที่น่าสนใจมากมายเช่นนี้<br>และตอนนี้ ผมสามารถตอบคำถามเธอได้แล้ว,"Nếu được gặp lại cô bé gái trên máy bay,<br>tôi sẽ cảm ơn cô bé.",,,,,eight_traits_of_successful_people ted-ed
Because I've never had so much fun and met so many interesting people.,"<img src=""eight_traits_of_successful_people_075.jpg"">",[sound:eight_traits_of_successful_people_075.wav],Because Ive never had so much fun and met so many interesting people,never had so much fun: phrase expressing peak enjoyment,met so many interesting people: phrase highlighting exposure to variety,,,I’ve never had so much fun traveling with friends before.,"At the conference, she met so many interesting people in her field.",,,لأنني لم أكن لأحصل على هذا الكم من المرح والتقى الكثير من الأشخاص مثيري الإهتمام,,因为我从来没有开心过，从没有见过这么多有趣的人,如果沒有她，我不會體會到前所未有的樂趣,Parce que j'ai pu rencontrer tant de gens intéressants.,so much fun and so many interesting,Noch nie hatte ich so viel Spaß und so viele interessante Leute kennengelernt.,,,Karena saya sudah bersenang-senang dan bertemu dengan banyak orang menarik.,mi ha spinto a conoscere tante persone interessanti.,こんなに楽しかったのは初めてだし 面白い人にたくさん出会えたから,왜냐하면 저는 흥미로운사람을 그렇게 많이 만난 적이 없었으니까요.,,Nigdy się tak dobrze nie bawiłem i nie poznałem tylu niesamowitych ludzi.,Porque nunca me diverti tanto nem conheci tanta gente interessante.,Porque nunca me diverti tanto e conheci imensa gente interessante.,"Ведь мне никогда не было так весело, я не встречал так много интересных людей.",Porque nunca me he divertido tanto y conocido a tanta gente interesante.,ผมค้นพบ 8 คุณลักษณะ ที่บุคคลผู้ประสบความสำเร็จมีเหมือนๆ กัน,Vì tôi chưa bao giờ được thích thú và gặp gỡ nhiều người thú vị đến vậy,[sound:hypertts-7d48740c0cbf39a33074a6ea3e9073dcaa0c194a7837edc7aeb19743.mp3],[sound:hypertts-91ddf773edda80a9ac708d605aad43892e0571b960e695a2e1ca313d.mp3],,,eight_traits_of_successful_people ted-ed
"And now, I can answer her question.","<img src=""eight_traits_of_successful_people_076.jpg"">",[sound:eight_traits_of_successful_people_076.wav],And now I can answer her question,,,,,,,,,والآن يمكنني الإجابة على سؤالها,,而且现在，我终于可以回答她的问题了,而現在的我，能夠回答她的問題了,Je peux aussi répondre à sa question.,nl ik een andere kwestie,Jetzt kann ich ihre Frage beantworten.,,,Dan sekarang saya bisa menjawab pertanyaannya.,E adesso posso rispondere alla sua domanda.,今なら彼女の質問に 答えられます,이제 그녀의 질문에 답할 수 있습니다.,,Teraz mogę odpowiedzieć na jej pytanie.,E agora posso responder a pergunta dela.,E agora já posso responder à pergunta dela.,Сейчас я могу ответить на её вопрос.,Y ahora puedo responder a su pregunta.,หรือจะเรียกว่า 8 สิ่งสู่ความยิ่งใหญ่ ก็ได้,Giờ tôi đã có thể trả lời câu hỏi của cô.,,,,,eight_traits_of_successful_people ted-ed
"I discovered the 8 traits successful people have in common,<br>or the 8 to be great:<br>Love what you do; work really hard;<br>focus on one thing, not everything;<br>keep pushing yourself; come up with good ideas;<br>keep improving yourself and what you do;<br>serve others something of value, because success isn't just about me, me, me;<br>and persist, because there's no overnight success.","<img src=""eight_traits_of_successful_people_077.jpg"">",[sound:eight_traits_of_successful_people_077.wav],I discovered the 8 traits successful people have in common or the 8 to be great Love what you do work really hard focus on one thing not everything keep pushing yourself come up with good ideas keep improving yourself and what you do serve others something of value because success isnt just about me me me and persist because theres no overnight success,traits: distinguishing qualities,in common: shared characteristics,serve others something of value: success tied to contribution,persist: continue despite difficulty,Patience and resilience are traits of successful leaders.,They have so much in common despite growing up in different countries.,Entrepreneurs succeed when they serve others something of genuine value.,He decided to persist even when others told him to quit.,اكتشفت السمات الثماني المشتركة بين الأشخاص الناجحين<br>أو الثمان لتصبح عظيم :<br>حب ما تعمل، اعمل بجدية<br>ركز على شيء واحد وليس كل شيء<br>إستمر في الضغط على نفسك إبتكر أفكارً جيدة<br>استمر في تطوير نفسك وما تفعله<br>اخدم الآخرين في أمر ذي قيمة لأن النجاح ليس فقط أنا، أنا، أنا<br>و ثابر، لأنه لا يوجد نجاح بين عشية وضحاها.,,我终于探究出了８个成功人士共有的特点<br>或是８个成功必要素<br>１.热爱你所做的，尽你所能的努力工作<br>２.专注一件事，而不是所有事<br>３.不断地鞭策自己，让自己想出更好的点子来<br>４.不断地提升自己和自己的事业<br>５.造福大家，为别人做些有用的事， 因为成功不是一个人的事<br>６.然后坚持下去，因为一口吃不成胖子 （没有一夜之间的成功）,我在這些成功人士中<br>也可以說是，八項促使你成功的因素<br>對你所做的事情懷抱熱情，並致力於其中<br>專心於一件事，人不是萬能<br>鞭策自己、激發新點子<br>精進自己，盡力而為<br>我為人人，因為單打獨鬥是無法成功的<br>最後是堅持到底,"J’ai découvert qu’il y a 8 traits partagés par tous les gens qui réussissent.<br>Les 8 traits pour briller !<br>Aime ce que tu fais, et bosse très dur !<br>Concentre-toi sur une seule chose !<br>Va au-delà de tes limites ! Imagine des bonnes idées !<br>Améliore-toi sans cesse dans ton domaine !<br>Offre à autrui quelque chose qui a de la valeur à ses yeux,<br>Accroche-toi parce que le succès immédiat est illusoire !",het is cavity eet reeds succesvol people<br>have come of the aid to be great love<br>what you do work really haar tokkies<br>mond een ander idee<br>keeping your cell knap het koor ideas<br>keep improving your cell phone mooie doe<br>surf others on tienen belgië pieken<br>processed,"Ich entdeckte 8 Eigenschaften, die alle Erfolgsmenschen gemeinsam haben,<br>oder die 8 Schritte zum Erfolg:<br>Lieben Sie Ihre Tätigkeit; arbeiten Sie sehr hart;<br>konzentrieren Sie sich nur auf eine Sache;<br>gehen Sie an Ihre Grenzen; entwickeln Sie gute Ideen;<br>verbessern Sie sich in Ihrer Tätigkeit weiter;<br>bieten Sie anderen etwas Wertvolles an,<br>und geben Sie nicht auf, denn Blitzerfolg gibt es nicht.",,,"Saya telah menemukan delapan ciri-ciri orang sukses,<br>atau delapan hal untuk menjadi hebat:<br>Cintai pekerjaan Anda; kerja keras;<br>fokus kepada satu hal, jangan semuanya;<br>terus mendorong diri Anda; temukan ide-ide bagus;<br>terus perbaiki diri dan pekerjaan Anda;<br>berikan hal yang berarti bagi orang lain, sukses bukan hanya tentang diri sendiri;<br>dan ketekunan, karena sukses tidak dapat diraih dalam semalam.","Ho scoperto le otto caratteristiche delle persone di successo,<br>ovvero quel che serve per eccellere:<br>Ama ciò che fai, lavora sodo.<br>Concentrati su una cosa, non su tante.<br>Non fermarti, fatti venire buone idee.<br>Continua a migliorare te stesso e quello che fai.<br>Da' credito agli altri, il successo non si costruisce da soli,<br>e persevera: il successo non arriva dall'oggi al domani.",成功者に共通する８つの特徴が 見つかったんです<br>これさえあれば という８つですね<br>自分の仕事が好きなこと すごく努力すること<br>何でもやろうとするのでなく １つの事に集中すること<br>自分のやる気を引き出すこと いいアイディアを出すこと<br>自分の能力と仕事を 改善し続けること<br>価値あるものを人に提供すること 自分のことばかり考えていては成功しません<br>そして やり抜くこと 成功は一夜では勝ち取れません,"저는 성공한 사람들이 공통으로 가지는 8가지 특징,<br>훌륭해 지기 위한 8가지를 알아냈습니다.<br>여러분이 하는 일을 사랑하세요. 열심히 일하세요.<br>전부가 아니라 하나에 초점을 두세요.<br>자신을 밀어붙이세요. 좋은 생각을 내세요.<br>여러분과 여러분이 하는 일을 계속 발전시키세요.<br>가치있는 일로 남에게 봉사하세요. 성공은 나만 위한 게 아니니까요.<br>끈기있게 하세요. 하룻밤의 성공은 없기 때문이죠.",,"Odkryłem osiem cech wspólnych dla ludzi sukcesu - ""Eight to be great"".<br>Kochaj to, co robisz; ciężko pracuj; skup się na jednym, nie na wszystkim;<br>nie spoczywaj na laurach; miej dobre pomysły;<br>pracuj nad sobą i tym co robisz;<br>nie poddawaj się, bo sukcesu nie odnosi się z dnia na dzień.","Descobri os 8 traços que pessoas bem-sucedidas têm em comum,<br>ou ""os oito para ser grande"":<br>Ame o que faz; trabalhe duro;<br>foque em uma coisa, não várias;<br>mantenha-se firme; tenha boas ideias;<br>continue aprimorando o que faz e a si mesmo;<br>dê aos outros algo de valor, porque o sucesso não tem a ver só com você;<br>e persista, porque não existe sucesso repentino.","Descobri as oito características que as pessoas de êxito têm em comum.<br>ou as oito para serem importantes.<br>Gostem muito do que fizerem; trabalhem a sério;<br>concentrem-se numa coisa, e não em tudo ao mesmo tempo;<br>estimulem-se a vocês mesmos; arranjem boas ideias;<br>estejam sempre a melhorar-vos e àquilo que fazem;<br>apresentem aos outros coisas de valor, porque o êxito não é só sobre mim;<br>e persistam, porque não há êxito da noite para o dia.","Я обнаружил восемь общих особенностей успешных людей<br>или восемь важных пунктов:<br>люби то, что делаешь; трудись не покладая рук;<br>сосредоточься на одном, а не на всём сразу;<br>продвигайся вперёд; находи хорошие идеи;<br>совершенствуй себя и то, чем занимаешься;<br>будь чем-то полезным людям, ведь успех  не только обо мне, мне, мне;<br>будь упорным, потому что успех сразу не приходит.","Descubrí los ocho rasgos exitosos que la gente tiene en común,<br>o los ocho para ser grandes:<br>Ama lo que haces; trabaja muy duro;<br>céntrate en una cosa, no en todo;<br>sigue poniéndote al límite; propón buenas ideas;<br>intenta ser cada día mejor y hacer mejor lo que haces;<br>ofrece a los demás valor, porque el éxito no se trata solo de mí, mí, mí;<br>y persiste porque no hay éxito de la noche a la mañana.",1. รักในสิ่งที่ทำ 2. ทำจนสุดกำลัง<br>3. ทุ่มเทกับสิ่งเดียว ไม่ใช่ทุกสิ่ง<br>4. ท้าทายผลักดันตัวเองอยู่เสมอ 5. คิดไอเดียดีๆ ใหม่เสมอๆ<br>6. พัฒนาตัวเองและสิ่งที่ทำ<br>7. ทำสิ่งที่มีคุณค่าต่อคนอื่น เพราะ ความสำเร็จไม่ได้เกิดจากการหมกมุ่นอยู่กับตัวเอง<br>และ 8. ความอุตสาหะ เพราะความสำเร็จไม่ได้เกิดขึ้นชั่วข้ามคืน<br>ทำไมผมจึงกล่าวถึงสิ่งเหล่านี้<br>เพราะขณะที่ผมเดินหน้างานสัมภาษณ์,"Tôi đã tìm ra 8 điểm chung của những người thành công<br>Hay 8 dấu hiệu tuyệt vời:<br>Thích điều mình làm; làm việc thật chăm chỉ;<br>Tập trung vào một việc, không phải mọi việc;<br>Luôn thúc đẩy bản thân; Đưa ra các ý tưởng tốt;<br>Luôn cải thiện bản thân và những gì đang làm.<br>Đối đãi tử tế với người khác, vì thành công không phải của cá nhân,<br>luôn bền bỉ, kiên gan bởi thành công không đến trong chớp mắt.",[sound:hypertts-0d440a4164f10244d784c9ab44b262b9bf123222c37874ec7b4ff338.mp3],[sound:hypertts-852118109617742b954e6256bd38c6b7fa45f1d9bf8074368f8ab40c.mp3],[sound:hypertts-0ada96ee31be6509cd2dd79128e77c1eac209c2840538b0f84005428.mp3],[sound:hypertts-923ea1c9728fe780f35d35faa287794b27364d924a0b722013d3cc03.mp3],eight_traits_of_successful_people ted-ed
Why did I pick these?,"<img src=""eight_traits_of_successful_people_078.jpg"">",[sound:eight_traits_of_successful_people_078.wav],Why did I pick these,,,,,,,,,لماذا اخترت هؤلاء الثماني؟,,至于为什么我要选择这些？,為什麼我會挑這八個呢,Pourquoi ces 8 caractéristiques ?,effectief dit is messed up all the,Wie bin ich darauf gekommen?,,,Mengapa faktor-faktor ini yang saya pilih?,Perché ho scelto proprio questi?,どうしてこれらを選んだのか？,왜 제가 이것들을 골랐을까요?,,Czemu wybrałem te?,Por que escolhi esses traços?,Porque é que escolhi estas?,Почему я выбрал это?,¿Por qué seleccioné estos?,ผู้คนส่วนใหญ่ระบุว่า ทั้ง 8 คุณลักษณะนั้นช่วยพวกเขา,Tại sao tôi chọn những yếu tố này,,,,,eight_traits_of_successful_people ted-ed
